main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0
bags & luggage,Rucksacks,,,"₹4,007","₹8,074",
bags & luggage,Rucksacks,,,₹980,"₹2,008",
bags & luggage,Rucksacks,,,"₹18,692","₹37,658",
bags & luggage,Rucksacks,,,₹973,"₹1,962",
bags & luggage,Rucksacks,,,,"₹4,271.07",
bags & luggage,Rucksacks,,,"₹2,849","₹6,499",
bags & luggage,Rucksacks,,,"₹1,299","₹1,999",
bags & luggage,Rucksacks,,,₹699,"₹1,100",
bags & luggage,Rucksacks,,,₹699,"₹1,100",
bags & luggage,Rucksacks,,,₹599,"₹1,000",
bags & luggage,Rucksacks,,,₹599,"₹1,000",
bags & luggage,Rucksacks,4.5,2,,,
bags & luggage,Rucksacks,,,₹999,"₹1,499",
bags & luggage,Rucksacks,,,₹999,"₹1,999",
bags & luggage,Rucksacks,,,"₹1,899","₹1,999",
bags & luggage,Rucksacks,,,"₹1,245","₹4,250",
bags & luggage,Rucksacks,,,"₹1,349","₹4,250",
bags & luggage,Rucksacks,,,"₹1,245","₹4,250",
bags & luggage,Rucksacks,,,"₹1,199","₹3,250",
bags & luggage,Rucksacks,,,"₹1,249","₹4,250",
bags & luggage,Rucksacks,,,"₹1,499","₹4,250",
bags & luggage,Rucksacks,,,₹399,₹899,
bags & luggage,Rucksacks,,,₹599,₹763,
bags & luggage,Rucksacks,,,₹249,₹599,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹649,₹999,
bags & luggage,Rucksacks,,,₹329,₹699,
bags & luggage,Rucksacks,,,₹247,₹599,
bags & luggage,Rucksacks,,,₹499,₹999,
bags & luggage,Rucksacks,,,₹549,₹799,
bags & luggage,Rucksacks,,,₹549,₹799,
bags & luggage,Rucksacks,,,₹549,₹799,
bags & luggage,Rucksacks,,,₹279,₹479,
bags & luggage,Rucksacks,,,"₹3,999","₹4,999",
bags & luggage,Rucksacks,,,"₹3,899","₹4,999",
bags & luggage,Rucksacks,FREE,Usually dispatched in 5 to 6 days.,"₹2,876","₹5,771",
bags & luggage,Rucksacks,FREE,Usually dispatched in 4 to 5 days.,₹597,"₹1,135",
bags & luggage,Rucksacks,,,,"₹2,999",
bags & luggage,Rucksacks,,,,"₹2,999",
bags & luggage,Rucksacks,,,₹359,₹599,
bags & luggage,Rucksacks,,,₹395,₹559,
bags & luggage,Rucksacks,FREE,Usually dispatched in 7 to 8 days.,"₹2,924","₹5,848",
bags & luggage,Rucksacks,4.7,10,,"₹13,498.65",
bags & luggage,Rucksacks,,,₹325,"₹1,699",
bags & luggage,Rucksacks,,,"₹1,199","₹2,499",
bags & luggage,Rucksacks,,,"₹1,399","₹1,999",
bags & luggage,Rucksacks,,,"₹3,755","₹10,430",
bags & luggage,Rucksacks,,,"₹1,075","₹1,999",
bags & luggage,Rucksacks,,,₹799,"₹1,499",
bags & luggage,Rucksacks,,,₹399,₹799,
bags & luggage,Rucksacks,,,"₹1,499","₹2,650",
bags & luggage,Rucksacks,,,,₹449,
bags & luggage,Rucksacks,,,,₹279,
bags & luggage,Rucksacks,,,"₹1,075","₹1,999",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹799,"₹1,999",
bags & luggage,Rucksacks,,,₹809,"₹1,499",
bags & luggage,Rucksacks,,,₹799,"₹1,499",
bags & luggage,Rucksacks,,,₹809,"₹1,499",
bags & luggage,Rucksacks,,,₹809,"₹1,499",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹845,"₹1,500",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,4.5,"2,863",,"₹10,045",
bags & luggage,Rucksacks,,,₹699,"₹1,099",
bags & luggage,Rucksacks,,,"₹3,801","₹7,602",
bags & luggage,Rucksacks,,,"₹1,400","₹2,800",
bags & luggage,Rucksacks,,,₹773,"₹1,546",
bags & luggage,Rucksacks,,,"₹1,891","₹2,099",
bags & luggage,Rucksacks,,,"₹1,396","₹2,513",
bags & luggage,Rucksacks,,,₹952,"₹1,714",
bags & luggage,Rucksacks,,,"₹1,399","₹2,800",
bags & luggage,Rucksacks,,,"₹2,433","₹3,479",
bags & luggage,Rucksacks,,,,"₹3,230",
bags & luggage,Rucksacks,,,"₹3,296","₹6,592",
