,house_rules,host_since,host_response_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price,family,pool,luxury,private,studio,len_amenities,PCA
6349,True,2013,207.87734241908007,3.0,3.0,247.59587955625992,-33.8451,151.20153,True,5,1.0,2.0,3.0,0.0,70.0,2,43.0,7,67,46,12,90.0,10.0,2,1,1,0.76,128,False,False,False,False,False,21,-1168.7530000374777
3539,False,2017,159.47826086956522,1.0,1.0,237.06749555950267,-33.78511,151.11976,True,5,2.0,2.0,5.0,309.0,62.0,4,38.0,1,230,50,30,96.0,9.0,1,1,0,2.55,128,False,False,False,False,False,38,778.6214975169305
3181,True,2013,207.87734241908007,1.0,1.0,190.49040307101728,-33.888040000000004,151.20601000000002,True,3,1.0,2.0,2.0,0.0,27.0,2,16.0,2,213,3,3,100.0,10.0,1,1,0,3.0,128,False,False,False,False,False,29,780.6165440329265
5397,True,2017,207.87734241908007,8.0,8.0,237.06749555950267,-33.95356,151.09613000000002,False,4,3.0,2.0,3.0,0.0,0.0,3,23.0,1,361,6,3,63.0,8.0,7,0,7,0.37,128,False,False,False,True,False,24,780.5890812673733
1591,False,2014,207.87734241908007,1.0,1.0,237.06749555950267,-33.74701,151.28252,True,4,1.0,1.0,1.0,0.0,31.0,1,0.0,1,0,3,3,100.0,10.0,1,1,0,0.87,130,False,False,False,False,False,36,780.6286764499716
7463,False,2015,207.87734241908007,1.0,1.0,202.7209026128266,-33.74515,151.29998999999998,True,2,1.0,1.0,1.0,1538.0,100.0,2,46.0,5,246,35,4,98.0,10.0,1,1,0,0.77,130,False,False,False,False,False,15,780.5793816918755
1568,True,2018,207.87734241908007,2.0,2.0,229.1060070671378,-33.86688,151.28348,True,4,1.0,2.0,2.0,111.0,50.0,1,38.0,1,178,4,4,85.0,10.0,2,2,0,2.22,130,False,False,False,False,False,19,780.5987718136516
5532,False,2012,207.87734241908007,1.0,1.0,194.28571428571428,-33.90318,151.15036,True,2,1.0,1.0,1.0,0.0,46.0,1,0.0,2,359,151,10,97.0,9.0,1,1,0,2.0,130,False,False,False,False,True,22,-1388.7289220261944
4386,True,2016,154.9,1.0,1.0,227.12709030100334,-33.89058,151.27422,True,4,1.0,1.0,2.0,154.0,77.0,1,0.0,2,321,70,16,96.0,10.0,1,1,0,2.03,130,False,False,False,False,False,16,780.6037485928794
913,False,2016,207.87734241908007,2.0,2.0,178.59622641509435,-33.794470000000004,151.27462,True,9,2.0,4.0,4.0,385.0,173.0,4,38.0,2,149,21,3,100.0,10.0,2,2,0,0.68,130,False,False,False,False,False,53,-1408.7101775930198
7560,True,2017,226.92957746478874,74.0,74.0,192.99492385786803,-33.81836,151.09197,True,6,2.0,3.0,4.0,385.0,99.0,5,8.0,2,92,3,3,100.0,9.0,64,64,0,2.73,130,False,False,False,False,False,23,780.6006454627354
4053,True,2016,207.87734241908007,1.0,1.0,192.99492385786803,-33.903009999999995,151.26029,True,2,1.0,1.0,1.0,0.0,46.0,1,0.0,2,335,81,29,97.0,10.0,1,1,0,2.58,130,False,False,False,False,True,28,780.5700523060435
9641,True,2019,207.87734241908007,2.0,2.0,190.49040307101728,-33.97553,150.87379,True,10,2.5,3.0,6.0,500.0,77.0,2,15.0,1,318,11,11,98.0,10.0,1,1,0,4.07,130,False,False,False,False,False,37,780.5818909803213
7531,False,2016,207.87734241908007,1.0,1.0,176.9078014184397,-33.88617,151.20143000000002,True,4,1.0,1.0,1.0,154.0,46.0,2,19.0,1,78,14,14,94.0,10.0,1,1,0,5.19,130,False,False,False,False,True,26,752.612834848865
8843,False,2015,207.87734241908007,2.0,2.0,197.92198581560282,-33.9389,151.23683,True,4,2.0,2.0,2.0,192.0,92.0,1,0.0,3,176,14,14,99.0,10.0,2,2,0,1.74,130,False,False,False,False,False,44,-738.8968279858167
5543,True,2015,207.87734241908007,1.0,1.0,201.72727272727272,-33.91373,151.24143,True,2,1.0,1.0,1.0,0.0,54.0,1,0.0,5,0,7,2,97.0,10.0,1,1,0,0.21,130,False,False,False,False,False,18,780.6211963690923
4952,True,2014,207.87734241908007,18.0,18.0,229.58333333333334,-33.87893,151.21251999999998,True,3,1.0,1.0,1.0,231.0,54.0,2,15.0,2,0,9,3,100.0,10.0,8,7,1,0.39,130,False,False,False,False,False,39,780.6261995590291
1597,False,2014,207.87734241908007,22.0,22.0,247.59587955625992,-33.88949,151.21219,True,2,1.0,1.0,1.0,385.0,115.0,1,0.0,7,348,1,1,100.0,10.0,22,22,0,0.14,130,False,False,False,False,False,18,780.5992072498011
4971,True,2015,207.87734241908007,1.0,1.0,202.7209026128266,-33.63947,151.31205,False,2,1.0,1.0,1.0,0.0,50.0,2,0.0,2,0,1,1,60.0,8.0,1,0,1,0.27,130,False,False,False,False,False,15,780.6301060941493
9685,False,2018,207.87734241908007,1.0,1.0,190.42857142857142,-33.90477,151.10095,True,6,1.0,2.0,3.0,269.0,96.0,4,19.0,5,153,6,6,97.0,8.0,1,1,0,0.7,130,False,False,False,False,False,30,-988.8275126454841
3625,True,2013,207.87734241908007,2.0,2.0,227.12709030100334,-33.87941,151.214,True,2,1.0,0.0,1.0,192.0,76.0,1,0.0,2,129,87,28,97.0,10.0,2,2,0,2.47,130,False,False,False,False,False,30,-1288.7190864062554
347,False,2016,207.87734241908007,2.0,2.0,210.02272727272728,-33.87968,151.21164,True,2,2.5,1.0,1.0,1154.0,115.0,2,77.0,2,18,10,10,100.0,10.0,2,2,0,1.94,130,False,False,True,False,False,20,780.6120504402204
1300,True,2018,207.87734241908007,14.0,14.0,179.28947368421052,-33.87195,151.23103999999998,True,2,1.0,1.0,1.0,385.0,123.0,1,0.0,5,147,34,34,98.0,10.0,12,12,0,2.94,130,False,False,False,False,True,21,-738.8828136790972
4683,False,2013,207.87734241908007,2.0,2.0,247.59587955625992,-33.85819,151.27676,True,4,1.0,2.0,2.0,385.0,0.0,1,0.0,3,168,1,1,80.0,10.0,2,1,1,0.1,130,False,False,False,False,False,35,-1412.6858062127858
3453,True,2016,207.87734241908007,3.0,3.0,247.59587955625992,-33.87099,151.23694,True,2,1.0,1.0,1.0,0.0,45.0,1,23.0,3,0,12,12,78.0,8.0,3,3,0,1.59,130,False,False,False,False,False,26,780.6253369296196
8190,False,2018,207.87734241908007,42.0,42.0,190.42857142857142,-33.75404,151.14652,True,4,2.0,2.0,2.0,0.0,65.0,4,15.0,2,199,12,12,87.0,9.0,42,42,0,1.31,130,False,False,False,False,False,31,780.5966820235276
5788,True,2017,195.71014492753622,2.0,2.0,178.59622641509435,-33.689640000000004,151.29592,True,3,1.0,1.0,1.0,0.0,0.0,2,23.0,1,0,1,1,100.0,10.0,2,2,0,0.16,130,False,False,False,False,False,20,780.6036167713131
1277,True,2015,207.87734241908007,1.0,1.0,202.7209026128266,-33.75922,151.28566999999998,True,3,1.0,1.0,2.0,0.0,46.0,2,19.0,3,336,10,4,91.0,9.0,1,1,0,0.39,130,False,False,False,False,False,15,780.6008814162957
1268,True,2018,226.92957746478874,29.0,29.0,193.44848484848484,-33.823640000000005,151.07743,True,6,2.0,2.0,2.0,231.0,115.0,1,0.0,2,84,5,5,96.0,10.0,14,14,0,2.59,130,False,False,False,False,False,25,780.5982305321844
5696,True,2017,329.5731707317073,1.0,1.0,200.42513863216266,-33.89982,151.26688,True,2,1.0,1.0,2.0,385.0,50.0,1,15.0,2,81,50,19,96.0,10.0,1,1,0,1.76,130,False,False,False,False,True,25,780.5898566354206
