,date,nofsales
530,2008-07-21,1
531,2008-07-22,1
532,2008-07-23,4
533,2008-07-24,0
534,2008-07-25,1
535,2008-07-26,1
536,2008-07-27,0
537,2008-07-28,1
538,2008-07-29,1
539,2008-07-30,2
540,2008-07-31,1
541,2008-08-01,2
542,2008-08-02,0
543,2008-08-03,0
544,2008-08-04,3
545,2008-08-05,2
546,2008-08-06,5
547,2008-08-07,1
548,2008-08-08,0
549,2008-08-09,3
550,2008-08-10,0
551,2008-08-11,1
552,2008-08-12,1
553,2008-08-13,3
554,2008-08-14,1
555,2008-08-15,6
556,2008-08-16,0
557,2008-08-17,0
558,2008-08-18,1
559,2008-08-19,3
560,2008-08-20,1
561,2008-08-21,4
562,2008-08-22,2
563,2008-08-23,1
564,2008-08-24,0
565,2008-08-25,1
566,2008-08-26,0
567,2008-08-27,3
568,2008-08-28,1
569,2008-08-29,2
570,2008-08-30,1
571,2008-08-31,0
572,2008-09-01,1
573,2008-09-02,5
574,2008-09-03,2
575,2008-09-04,2
576,2008-09-05,5
577,2008-09-06,0
578,2008-09-07,0
579,2008-09-08,3
580,2008-09-09,0
581,2008-09-10,2
582,2008-09-11,2
583,2008-09-12,2
584,2008-09-13,2
585,2008-09-14,0
586,2008-09-15,2
587,2008-09-16,5
588,2008-09-17,6
589,2008-09-18,3
590,2008-09-19,4
591,2008-09-20,1
592,2008-09-21,0
593,2008-09-22,18
594,2008-09-23,1
595,2008-09-24,1
596,2008-09-25,3
597,2008-09-26,4
598,2008-09-27,0
599,2008-09-28,0
600,2008-09-29,8
601,2008-09-30,7
602,2008-10-01,2
603,2008-10-02,1
604,2008-10-03,5
605,2008-10-04,0
606,2008-10-05,0
607,2008-10-06,0
608,2008-10-07,5
609,2008-10-08,4
610,2008-10-09,1
611,2008-10-10,8
612,2008-10-11,0
613,2008-10-12,1
614,2008-10-13,2
615,2008-10-14,8
616,2008-10-15,2
617,2008-10-16,2
618,2008-10-17,4
619,2008-10-18,4
620,2008-10-19,0
621,2008-10-20,3
622,2008-10-21,6
623,2008-10-22,4
624,2008-10-23,7
625,2008-10-24,6
626,2008-10-25,0
627,2008-10-26,0
628,2008-10-27,7
629,2008-10-28,2
630,2008-10-29,1
631,2008-10-30,2
632,2008-10-31,6
633,2008-11-01,0
634,2008-11-02,0
635,2008-11-03,6
636,2008-11-04,0
637,2008-11-05,5
638,2008-11-06,3
639,2008-11-07,7
640,2008-11-08,0
641,2008-11-09,0
642,2008-11-10,6
643,2008-11-11,4
644,2008-11-12,3
645,2008-11-13,1
646,2008-11-14,2
647,2008-11-15,3
648,2008-11-16,0
649,2008-11-17,9
650,2008-11-18,4
651,2008-11-19,4
652,2008-11-20,3
653,2008-11-21,9
654,2008-11-22,3
655,2008-11-23,0
656,2008-11-24,12
657,2008-11-25,4
658,2008-11-26,5
659,2008-11-27,3
660,2008-11-28,11
661,2008-11-29,2
662,2008-11-30,0
663,2008-12-01,7
664,2008-12-02,8
665,2008-12-03,9
666,2008-12-04,10
667,2008-12-05,9
668,2008-12-06,4
669,2008-12-07,0
670,2008-12-08,9
671,2008-12-09,3
672,2008-12-10,10
673,2008-12-11,1
674,2008-12-12,7
675,2008-12-13,1
676,2008-12-14,0
677,2008-12-15,10
678,2008-12-16,6
679,2008-12-17,3
680,2008-12-18,3
681,2008-12-19,11
682,2008-12-20,4
683,2008-12-21,0
684,2008-12-22,9
685,2008-12-23,12
686,2008-12-24,12
687,2008-12-25,0
688,2008-12-26,0
689,2008-12-27,0
690,2008-12-28,0
691,2008-12-29,0
692,2008-12-30,0
693,2008-12-31,0
694,2009-01-01,0
695,2009-01-02,0
696,2009-01-03,0
697,2009-01-04,0
698,2009-01-05,2
699,2009-01-06,3
700,2009-01-07,2
701,2009-01-08,5
702,2009-01-09,3
703,2009-01-10,2
704,2009-01-11,0
705,2009-01-12,8
706,2009-01-13,3
707,2009-01-14,3
708,2009-01-15,7
709,2009-01-16,3
710,2009-01-17,0
711,2009-01-18,0
712,2009-01-19,3
713,2009-01-20,6
714,2009-01-21,1
715,2009-01-22,3
716,2009-01-23,9
717,2009-01-24,0
718,2009-01-25,0
719,2009-01-26,0
720,2009-01-27,6
721,2009-01-28,5
722,2009-01-29,6
723,2009-01-30,7
724,2009-01-31,2
725,2009-02-01,0
726,2009-02-02,3
727,2009-02-03,10
728,2009-02-04,5
729,2009-02-05,5
730,2009-02-06,5
731,2009-02-07,1
732,2009-02-08,0
733,2009-02-09,7
734,2009-02-10,7
735,2009-02-11,10
736,2009-02-12,7
737,2009-02-13,6
738,2009-02-14,1
739,2009-02-15,0
740,2009-02-16,4
741,2009-02-17,10
742,2009-02-18,2
743,2009-02-19,5
744,2009-02-20,4
745,2009-02-21,1
746,2009-02-22,0
747,2009-02-23,7
748,2009-02-24,3
749,2009-02-25,2
750,2009-02-26,8
751,2009-02-27,2
752,2009-02-28,2
753,2009-03-01,0
754,2009-03-02,5
755,2009-03-03,7
756,2009-03-04,7
757,2009-03-05,5
758,2009-03-06,13
759,2009-03-07,2
760,2009-03-08,0
761,2009-03-09,0
762,2009-03-10,9
763,2009-03-11,8
764,2009-03-12,7
765,2009-03-13,7
766,2009-03-14,1
767,2009-03-15,0
768,2009-03-16,3
769,2009-03-17,10
770,2009-03-18,7
771,2009-03-19,10
772,2009-03-20,8
773,2009-03-21,0
774,2009-03-22,1
775,2009-03-23,9
776,2009-03-24,6
777,2009-03-25,8
778,2009-03-26,3
779,2009-03-27,7
780,2009-03-28,5
781,2009-03-29,0
782,2009-03-30,11
783,2009-03-31,5
784,2009-04-01,7
785,2009-04-02,4
786,2009-04-03,7
787,2009-04-04,1
788,2009-04-05,0
789,2009-04-06,9
790,2009-04-07,12
791,2009-04-08,2
792,2009-04-09,4
793,2009-04-10,0
794,2009-04-11,0
795,2009-04-12,0
796,2009-04-13,0
797,2009-04-14,4
798,2009-04-15,10
799,2009-04-16,9
800,2009-04-17,6
801,2009-04-18,1
802,2009-04-19,0
803,2009-04-20,9
804,2009-04-21,4
805,2009-04-22,3
806,2009-04-23,5
807,2009-04-24,11
808,2009-04-25,0
809,2009-04-26,0
810,2009-04-27,0
811,2009-04-28,4
812,2009-04-29,4
813,2009-04-30,2
814,2009-05-01,8
815,2009-05-02,0
816,2009-05-03,0
817,2009-05-04,6
818,2009-05-05,6
819,2009-05-06,5
820,2009-05-07,6
821,2009-05-08,8
822,2009-05-09,1
823,2009-05-10,0
824,2009-05-11,5
825,2009-05-12,4
826,2009-05-13,3
